Statut;Coordonnées géographiques;Geo Shape
En exploitation;42.30603365414172, 9.15321261713723;"{""coordinates"": [[9.1532653, 42.3055326], [9.1532669, 42.305546], [9.1532837, 42.3056724], [9.1529181, 42.3057245], [9.1529663, 42.3059213], [9.1525993, 42.3059776], [9.1526969, 42.3063443], [9.1535769, 42.3061672], [9.1541914, 42.3059495], [9.1542521, 42.3059927], [9.1542641, 42.3060024]], ""type"": ""LineString""}"
En exploitation;42.303546872626406, 9.157638574072898;"{""coordinates"": [[9.157667, 42.3034516], [9.1576692, 42.3034565], [9.15768, 42.3034588], [9.1576854, 42.30346], [9.1577016, 42.3034636], [9.1577079, 42.3034659], [9.157707, 42.3034695], [9.1577021, 42.3034798], [9.1576962, 42.3034928], [9.1576901, 42.303504], [9.1576744, 42.3035284], [9.1576534, 42.3035585], [9.1576195, 42.3035936], [9.1576175, 42.3035986], [9.1575941, 42.3036058], [9.1575772, 42.3036111], [9.1575524, 42.3036121], [9.1575441, 42.3036091], [9.1575414, 42.3036034], [9.1575437, 42.3035927], [9.1575454, 42.3035856]], ""type"": ""LineString""}"
En exploitation;42.30076228381526, 9.153508045943802;"{""coordinates"": [[9.1540733, 42.3004984], [9.1540552, 42.3004995], [9.1540309, 42.3005053], [9.1539396, 42.300472], [9.1537366, 42.3006776], [9.1529138, 42.3010507]], ""type"": ""LineString""}"
En exploitation;42.3087008247566, 9.151215230176073;"{""coordinates"": [[9.1513382, 42.3083747], [9.1513363, 42.3083742], [9.15127, 42.3085498], [9.1511465, 42.3088832], [9.1511005, 42.3090317]], ""type"": ""LineString""}"
En exploitation;42.30266343502988, 9.167854276726473;"{""coordinates"": [[9.1676327, 42.3033543], [9.1676488, 42.3033481], [9.1677132, 42.3033318], [9.167751, 42.3033135], [9.1677746, 42.3032981], [9.1677982, 42.3032709], [9.1678156, 42.303238], [9.1678423, 42.3032036], [9.1678653, 42.3031842], [9.1679324, 42.3031537], [9.1679404, 42.3031369], [9.1679405, 42.303127], [9.1677582, 42.3027265], [9.1677182, 42.3026478], [9.1676518, 42.302472], [9.1676414, 42.3024467], [9.1676363, 42.302407], [9.1676446, 42.3023604], [9.1676894, 42.3023216], [9.1677517, 42.3022958], [9.1678736, 42.3022532], [9.1682876, 42.3021652], [9.1682966, 42.3021635], [9.1683166, 42.3021682], [9.1683175, 42.3021695], [9.1683302, 42.3021768]], ""type"": ""LineString""}"
En exploitation;42.30516219995166, 9.149943737337775;"{""coordinates"": [[9.1509233, 42.3051516], [9.1509075, 42.305145], [9.1507711, 42.3051836], [9.1506634, 42.3052], [9.1506278, 42.3052085], [9.1505903, 42.3052215], [9.1505678, 42.3052283], [9.1505437, 42.3052297], [9.150442, 42.3052344], [9.1504003, 42.3052297], [9.1503679, 42.3052204], [9.1503202, 42.305207], [9.1502381, 42.305186], [9.1502053, 42.3051753], [9.1501632, 42.305157], [9.1501317, 42.3051389], [9.1501016, 42.3051307], [9.1500707, 42.3051254], [9.1500435, 42.3051224], [9.1499216, 42.3051103], [9.1498178, 42.3051174], [9.1497236, 42.3051248], [9.1496218, 42.3051397], [9.1495501, 42.3051502], [9.1493023, 42.3051651], [9.1490548, 42.305157], [9.1490411, 42.3051542], [9.1490292, 42.305145], [9.149024, 42.3050807], [9.149011, 42.3050747]], ""type"": ""LineString""}"
En exploitation;42.30842859719071, 9.151664161941822;"{""coordinates"": [[9.1513382, 42.3083747], [9.1519218, 42.3084794], [9.1519043, 42.3084134], [9.1519007, 42.3084002]], ""type"": ""LineString""}"
En exploitation;42.29894322391046, 9.154445550366571;"{""coordinates"": [[9.1547514, 42.2982436], [9.1547467, 42.2982567], [9.1547356, 42.2982887], [9.1543968, 42.2986], [9.1542413, 42.2987793], [9.1541828, 42.2988875], [9.1541633, 42.2989577], [9.1542071, 42.2990517], [9.154318, 42.299223], [9.1544319, 42.2993327], [9.1546587, 42.2994837], [9.1547888, 42.2995175], [9.1547489, 42.2995639]], ""type"": ""LineString""}"
En exploitation;42.30169916389969, 9.155764327732815;"{""coordinates"": [[9.155869, 42.301516], [9.1558843, 42.3015232], [9.1558998, 42.3015304], [9.1559119, 42.3015867], [9.1559122, 42.3015885], [9.1558327, 42.301642], [9.1557929, 42.3016678], [9.1557432, 42.3017024], [9.1557171, 42.3017202], [9.1557079, 42.3017261], [9.1556125, 42.3018673], [9.1556141, 42.3018717], [9.1556181, 42.3018742], [9.1556332, 42.3018787], [9.1556483, 42.3018842], [9.1556465, 42.3018873]], ""type"": ""LineString""}"
En exploitation;42.30200340248228, 9.15375316769584;"{""coordinates"": [[9.1537054, 42.3019784], [9.1537124, 42.3019908], [9.1537261, 42.3020002], [9.1537906, 42.3020161], [9.153801, 42.3019991]], ""type"": ""LineString""}"
En exploitation;42.29712761431799, 9.146311935699474;"{""coordinates"": [[9.1424479, 42.2937122], [9.1424626, 42.2937043], [9.1424934, 42.2936596], [9.1428719, 42.2936666], [9.1431625, 42.2938046], [9.1439782, 42.2944833], [9.144373, 42.2947504], [9.1446457, 42.2949045], [9.1452118, 42.2951246], [9.1457316, 42.2952583], [9.1461449, 42.2954841], [9.1463135, 42.2956391], [9.1469491, 42.2966249], [9.1470919, 42.2972234], [9.1471651, 42.2976487], [9.1472654, 42.2980445], [9.1474285, 42.2987374], [9.1476434, 42.2992944], [9.1479368, 42.2999527], [9.1479834, 42.300078], [9.1481029, 42.3002284], [9.1481364, 42.3002984], [9.1482698, 42.300578], [9.148455, 42.3010156], [9.1486535, 42.301408], [9.1487198, 42.301554], [9.1487646, 42.3016543], [9.1488735, 42.3017369], [9.1489504, 42.3017868], [9.1489891, 42.301784], [9.1490071, 42.3017827]], ""type"": ""LineString""}"
En exploitation;42.30193564661949, 9.155615365517061;"{""coordinates"": [[9.1556465, 42.3018873], [9.1556453, 42.3018897], [9.1555889, 42.3019761], [9.155596, 42.3019672]], ""type"": ""LineString""}"
En exploitation;42.30152151885978, 9.154215881928465;"{""coordinates"": [[9.1546855, 42.3013245], [9.1546661, 42.3013404], [9.154611, 42.3013825], [9.1545962, 42.301378], [9.154357, 42.301292], [9.1543016, 42.3012736], [9.1542744, 42.3012706], [9.1542542, 42.3012746], [9.1539238, 42.3018216], [9.1541133, 42.3018958], [9.1541182, 42.3018977], [9.154123, 42.3019063]], ""type"": ""LineString""}"
En exploitation;42.2914567, 9.13532095;"{""coordinates"": [[9.1353355, 42.2914919], [9.1353064, 42.2914215]], ""type"": ""LineString""}"
En exploitation;42.303153614487435, 9.157771821115263;"{""coordinates"": [[9.1576692, 42.3034509], [9.1576728, 42.3034563], [9.1576825, 42.3034583], [9.1577027, 42.3034626], [9.1577077, 42.3034641], [9.1577111, 42.3034621], [9.1577245, 42.3034396], [9.1577421, 42.3033997], [9.1577651, 42.3033414], [9.1577842, 42.3032708], [9.1577995, 42.3031868], [9.1578078, 42.3030941], [9.1578037, 42.3030221], [9.1577866, 42.3029319], [9.1577691, 42.3028819], [9.1577349, 42.3028014]], ""type"": ""LineString""}"
En exploitation;42.30748884086831, 9.160946720476055;"{""coordinates"": [[9.1596877, 42.3075917], [9.1597057, 42.3075937], [9.1597343, 42.3075794], [9.1598485, 42.3075877], [9.1600358, 42.3076147], [9.160475, 42.3075687], [9.1614076, 42.307446], [9.1618148, 42.3073728], [9.1621966, 42.3072664]], ""type"": ""LineString""}"
En exploitation;42.29730954064926, 9.157546135049143;"{""coordinates"": [[9.1577468, 42.2983211], [9.1577297, 42.2983165], [9.1576688, 42.2983005], [9.1573771, 42.2966118], [9.157772, 42.2965729], [9.1578038, 42.296538], [9.1578141, 42.2965268]], ""type"": ""LineString""}"
En exploitation;42.30605867699999, 9.152469073812918;"{""coordinates"": [[9.1532453, 42.3055179], [9.1532273, 42.3055166], [9.1531863, 42.3055138], [9.1532095, 42.3056272], [9.1528486, 42.3056807], [9.152905, 42.3058945], [9.1523254, 42.3059783], [9.1523183, 42.3060125], [9.1520771, 42.3060449], [9.1521655, 42.3063576], [9.1521916, 42.3064602], [9.1520557, 42.3064951], [9.1519634, 42.3065312], [9.1519058, 42.3065662], [9.1518777, 42.3066087], [9.1517917, 42.3066811], [9.1518561, 42.3067358], [9.1518602, 42.3067488]], ""type"": ""LineString""}"
En exploitation;42.30535393589419, 9.149021734226551;"{""coordinates"": [[9.1489982, 42.3050764], [9.1489957, 42.3050935], [9.1490645, 42.3053291], [9.1490949, 42.3054408], [9.1490899, 42.3054492], [9.1490771, 42.3054563], [9.149042, 42.3054764], [9.1488758, 42.3055515]], ""type"": ""LineString""}"
En exploitation;42.305906308954505, 9.146576331180635;"{""coordinates"": [[9.1465862, 42.3058717], [9.1465731, 42.3059177], [9.1465702, 42.3059278], [9.1465664, 42.3059409]], ""type"": ""LineString""}"
